date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:18:54	12548/12548	---M-Z	200	added ('OK')	text/html	etag:%22c8992a5418134eda018b9363c42f29fe-ssl-df%22	https://besttipper.online/	C:/Users/shiva/Desktop/allrounder/besttipper.online/index.html	(from )
14:18:54	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1719480986-ssl-df	https://besttipper.online/robots.txt		(from )
14:18:55	2199/2199	---M-Z	200	added ('OK')	text/css	etag:%225eb03f2b-897%22	https://cdnjs.cloudflare.com/ajax/libs/normalize/5.0.0/normalize.min.css	C:/Users/shiva/Desktop/allrounder/cdnjs.cloudflare.com/ajax/libs/normalize/5.0.0/normalize.min.css	(from https://besttipper.online/)
14:18:55	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/shiva/Desktop/allrounder/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://besttipper.online/)
14:18:56	4439/4439	---M-Z	200	added ('OK')	text/css	etag:%226c7a907d1ab4594ee3a21831e8f02f1d-ssl-df%22	https://besttipper.online/style.css	C:/Users/shiva/Desktop/allrounder/besttipper.online/style.css	(from https://besttipper.online/)
14:18:57	244375/244375	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2013%20Nov%202024%2008:48:57%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/shiva/Desktop/allrounder/connect.facebook.net/en_US/fbevents.js	(from https://besttipper.online/)
14:18:58	161921/161921	---M--	200	added ('OK')	image/jpeg	etag:%22b1ea591c3bcd5a5102d1aa9cd86d5253-ssl%22	https://besttipper.online/images/312142211_487136336766364_8337084955987567296_n.jpg	C:/Users/shiva/Desktop/allrounder/besttipper.online/images/312142211_487136336766364_8337084955987567296_n.jpg	(from https://besttipper.online/)
14:18:59	134332/134332	---M--	200	added ('OK')	image/jpeg	etag:%222e6d6a0617ca240b2593c7892fbaa534-ssl%22	https://besttipper.online/images/312258813_487120200101311_7747185234235957721_n.jpg	C:/Users/shiva/Desktop/allrounder/besttipper.online/images/312258813_487120200101311_7747185234235957721_n.jpg	(from https://besttipper.online/)
14:18:59	179345/179345	---M--	200	added ('OK')	image/jpeg	etag:%220e8f50ea5c7f0b060b59abbd05a38427-ssl%22	https://besttipper.online/images/312259319_487140940099237_8279344711871775887_n.jpg	C:/Users/shiva/Desktop/allrounder/besttipper.online/images/312259319_487140940099237_8279344711871775887_n.jpg	(from https://besttipper.online/)
14:19:00	301237/301237	---M--	200	added ('OK')	image/jpeg	etag:%222b0e8a0ff2b076739d226a25d4e833fe-ssl%22	https://besttipper.online/images/312248201_487090633437601_5277820818049564803_n.jpg	C:/Users/shiva/Desktop/allrounder/besttipper.online/images/312248201_487090633437601_5277820818049564803_n.jpg	(from https://besttipper.online/)
14:19:00	122496/122496	---M--	200	added ('OK')	image/jpeg	etag:%22aa29f0468c8730e1c6858282bb8a1e0e-ssl%22	https://besttipper.online/images/333616559_765172208252439_2870059357989710069_n.jpg	C:/Users/shiva/Desktop/allrounder/besttipper.online/images/333616559_765172208252439_2870059357989710069_n.jpg	(from https://besttipper.online/)
14:19:00	86709/86709	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-152b5%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.1.1/jquery.min.js	C:/Users/shiva/Desktop/allrounder/cdnjs.cloudflare.com/ajax/libs/jquery/3.1.1/jquery.min.js	(from https://besttipper.online/)
14:19:01	112880/112880	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e71-1b8f0%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/1.19.1/TweenMax.min.js	C:/Users/shiva/Desktop/allrounder/cdnjs.cloudflare.com/ajax/libs/gsap/1.19.1/TweenMax.min.js	(from https://besttipper.online/)
14:19:01	6110/6110	---M-Z	200	added ('OK')	application/javascript	etag:%229e7053cbb77a4de0603c60a1ac0cfcec-ssl-df%22	https://besttipper.online/script.js	C:/Users/shiva/Desktop/allrounder/besttipper.online/script.js	(from https://besttipper.online/)
14:19:02	3082/3082	---M-Z	404	error ('Not%20Found')	text/html	etag:1719480986-ssl-df	https://besttipper.online/a	C:/Users/shiva/Desktop/allrounder/besttipper.online/a.c.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
14:19:03	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1719480986-ssl-df	https://besttipper.online/POST	C:/Users/shiva/Desktop/allrounder/besttipper.online/POST.d.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
14:19:04	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1719480986-ssl-df	https://besttipper.online/schema.org/	C:/Users/shiva/Desktop/allrounder/besttipper.online/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
14:19:04	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1719480986-ssl-df	https://besttipper.online/b.resolvedLink	C:/Users/shiva/Desktop/allrounder/besttipper.online/b.e.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
14:19:04	3082/3082	---M-Z	404	error ('Not%20Found')	text/html	etag:1719480986-ssl-df	https://besttipper.online/signals/iwl.js	C:/Users/shiva/Desktop/allrounder/besttipper.online/signals/iwl.f.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
